역명,위도,경도,가장_가까운_관측소명
서울,37.55315,126.972533,중구
시청,37.56359,126.975407,중구
종각,37.570203,126.983116,중구
종로3가,37.570429,126.992095,중구
종로5가,37.570971,127.0019,중구
동대문,37.57179,127.011383,중구
동묘앞,37.573265,127.016459,중구
신설동,37.576117,127.02471,동대문
제기동,37.578116,127.034902,동대문
청량리,37.580148,127.045063,동대문
을지로입구,37.565998,126.982569,중구
을지로3가,37.566292,126.991773,중구
을지로4가,37.566611,126.998122,중구
동대문역사문화공원,37.565597,127.009113,중구
신당,37.565681,127.019488,성동
상왕십리,37.564504,127.028872,성동
왕십리,37.561159,127.035505,성동
한양대,37.55658,127.043504,성동
뚝섬,37.54718,127.047413,성동
성수,37.544628,127.055983,성동
건대입구,37.540408,127.069231,광진
구의,37.536857,127.085024,광진
강변,37.535161,127.094684,광진
잠실나루,37.520688,127.103836,광진
잠실,37.513305,127.100129,강남
잠실새내,37.520731,127.103738,광진
종합운동장,37.511008,127.073641,강남
삼성,37.508827,127.063203,강남
선릉,37.504257,127.048174,서초
역삼,37.500658,127.03643,서초
강남,37.497958,127.027539,서초
교대,37.493957,127.014631,서초
서초,37.49191,127.007945,서초
방배,37.481469,126.997627,남현
사당,37.476536,126.981631,남현
낙성대,37.47693,126.963783,남현
서울대입구,37.481233,126.952745,현충원
봉천,37.482416,126.941896,기상청
신림,37.484216,126.929573,기상청
신대방,37.487534,126.913279,기상청
구로디지털단지,37.485005,126.902626,기상청
대림,37.492426,126.895293,기상청
신도림,37.508815,126.891222,양천
문래,37.517993,126.894766,영등포
영등포구청,37.525766,126.896627,영등포
당산,37.533877,126.902011,영등포
합정,37.550025,126.914557,마포
홍대입구,37.556748,126.923643,마포
신촌,37.555153,126.93689,마포
이대,37.556734,126.945897,마포
아현,37.557407,126.956079,서대문
충정로,37.559742,126.964455,중구
시청,37.563534,126.975271,중구
신설동,37.574653,127.025158,성동
용두,37.574012,127.03811,동대문
신답,37.56147,127.056348,성동
용답,37.566412,126.977863,중구
도림천,37.514759,126.882586,양천
양천구청,37.512194,126.865193,양천
신정네거리,37.520218,126.852849,양천
까치산,37.53181,126.846706,양천
불광,37.610554,126.929843,은평
녹번,37.600882,126.935758,서대문
홍제,37.588851,126.944092,서대문
무악재,37.582658,126.950131,서대문
독립문,37.574534,126.957902,서대문
경복궁,37.575844,126.973576,중구
안국,37.576562,126.98547,중구
종로3가,37.571537,126.991237,중구
을지로3가,37.566299,126.992616,중구
충무로,37.561302,126.995473,중구
동대입구,37.55816,127.005273,중구
약수,37.554674,127.010628,중구
금호,37.548269,127.015785,성동
옥수,37.541653,127.017303,성동
압구정,37.526169,127.028502,성동
신사,37.516438,127.020247,서초
잠원,37.512989,127.011613,용산
고속터미널,37.504953,127.004916,현충원
교대,37.49306,127.013796,서초
남부터미널,37.48494,127.016289,서초
양재,37.48466,127.03513,서초
매봉,37.487114,127.046907,서초
도곡,37.491129,127.055694,강남
대치,37.494601,127.063449,강남
학여울,37.496757,127.070541,강남
대청,37.493607,127.079526,강남
일원,37.48389,127.08416,강남
수서,37.487507,127.101324,강남
가락시장,37.492368,127.118101,송파
